Epoch: [0][660/879], lr: 0.00500	Time 0.708 (2.107)	Data 0.000 (1.362)	Loss 3.3457 (4.6111)	Prec@1 18.750 (5.621)	Prec@5 31.250 (18.447)
Epoch: [0][680/879], lr: 0.00500	Time 0.718 (2.107)	Data 0.000 (1.363)	Loss 3.5046 (4.5695)	Prec@1 15.625 (6.066)	Prec@5 46.875 (19.429)
Epoch: [0][700/879], lr: 0.00500	Time 1.026 (2.109)	Data 0.280 (1.365)	Loss 3.4888 (4.5321)	Prec@1 9.375 (6.446)	Prec@5 50.000 (20.310)
Epoch: [0][720/879], lr: 0.00500	Time 0.723 (2.110)	Data 0.000 (1.366)	Loss 3.0061 (4.4940)	Prec@1 18.750 (6.865)	Prec@5 46.875 (21.147)
Epoch: [0][740/879], lr: 0.00500	Time 0.904 (2.111)	Data 0.167 (1.368)	Loss 3.1421 (4.4562)	Prec@1 21.875 (7.186)	Prec@5 53.125 (22.056)
Epoch: [0][760/879], lr: 0.00500	Time 2.060 (2.113)	Data 1.326 (1.371)	Loss 2.6129 (4.4192)	Prec@1 25.000 (7.498)	Prec@5 81.250 (22.955)
Epoch: [0][780/879], lr: 0.00500	Time 0.712 (2.113)	Data 0.000 (1.371)	Loss 2.7701 (4.3816)	Prec@1 25.000 (7.895)	Prec@5 62.500 (23.868)
Epoch: [0][800/879], lr: 0.00500	Time 1.042 (2.115)	Data 0.326 (1.374)	Loss 3.0288 (4.3476)	Prec@1 21.875 (8.197)	Prec@5 43.750 (24.637)
Epoch: [0][820/879], lr: 0.00500	Time 1.022 (2.117)	Data 0.287 (1.375)	Loss 3.0017 (4.3105)	Prec@1 25.000 (8.640)	Prec@5 56.250 (25.525)
Epoch: [0][840/879], lr: 0.00500	Time 0.982 (2.119)	Data 0.258 (1.377)	Loss 3.0694 (4.2736)	Prec@1 15.625 (9.074)	Prec@5 56.250 (26.375)
Epoch: [0][860/879], lr: 0.00500	Time 0.715 (2.119)	Data 0.000 (1.378)	Loss 2.4952 (4.2383)	Prec@1 34.375 (9.498)	Prec@5 68.750 (27.236)
Epoch: [1][0/879], lr: 0.00500	Time 8.508 (8.508)	Data 7.737 (7.737)	Loss 2.5272 (2.5272)	Prec@1 28.125 (28.125)	Prec@5 65.625 (65.625)
Epoch: [1][20/879], lr: 0.00500	Time 5.441 (2.271)	Data 4.707 (1.543)	Loss 3.0263 (2.5920)	Prec@1 28.125 (31.548)	Prec@5 53.125 (65.625)
Epoch: [1][40/879], lr: 0.00500	Time 4.866 (2.110)	Data 4.136 (1.385)	Loss 2.3298 (2.5761)	Prec@1 34.375 (31.174)	Prec@5 75.000 (66.692)
Epoch: [1][60/879], lr: 0.00500	Time 5.218 (2.053)	Data 4.483 (1.328)	Loss 2.7004 (2.5458)	Prec@1 21.875 (31.506)	Prec@5 71.875 (67.982)
Epoch: [1][80/879], lr: 0.00500	Time 5.457 (2.029)	Data 4.720 (1.302)	Loss 2.1773 (2.5298)	Prec@1 28.125 (31.559)	Prec@5 75.000 (67.323)
Epoch: [1][100/879], lr: 0.00500	Time 4.596 (2.003)	Data 3.857 (1.275)	Loss 2.5458 (2.5200)	Prec@1 50.000 (32.209)	Prec@5 71.875 (68.007)
Epoch: [1][120/879], lr: 0.00500	Time 3.419 (1.988)	Data 2.682 (1.260)	Loss 2.0882 (2.4950)	Prec@1 37.500 (32.851)	Prec@5 81.250 (68.621)
Epoch: [1][140/879], lr: 0.00500	Time 2.811 (1.982)	Data 2.077 (1.254)	Loss 2.6012 (2.4857)	Prec@1 37.500 (33.267)	Prec@5 62.500 (68.972)
Epoch: [1][160/879], lr: 0.00500	Time 2.499 (1.974)	Data 1.764 (1.246)	Loss 2.4229 (2.4534)	Prec@1 25.000 (34.084)	Prec@5 78.125 (69.915)
Epoch: [1][180/879], lr: 0.00500	Time 1.704 (1.968)	Data 0.972 (1.240)	Loss 2.4556 (2.4473)	Prec@1 31.250 (34.306)	Prec@5 68.750 (69.993)
Epoch: [1][200/879], lr: 0.00500	Time 2.470 (1.962)	Data 1.731 (1.235)	Loss 2.6826 (2.4346)	Prec@1 28.125 (34.468)	Prec@5 68.750 (70.398)
Epoch: [1][220/879], lr: 0.00500	Time 4.698 (1.967)	Data 3.960 (1.239)	Loss 2.3195 (2.4212)	Prec@1 25.000 (34.714)	Prec@5 65.625 (70.645)
Epoch: [1][240/879], lr: 0.00500	Time 5.730 (1.968)	Data 5.000 (1.240)	Loss 2.0691 (2.3952)	Prec@1 46.875 (35.477)	Prec@5 81.250 (71.071)
Epoch: [1][260/879], lr: 0.00500	Time 5.781 (1.968)	Data 4.995 (1.240)	Loss 2.0411 (2.3692)	Prec@1 46.875 (36.051)	Prec@5 81.250 (71.552)
Epoch: [1][280/879], lr: 0.00500	Time 4.766 (1.970)	Data 4.032 (1.241)	Loss 2.3380 (2.3593)	Prec@1 37.500 (36.110)	Prec@5 68.750 (71.797)
Epoch: [1][300/879], lr: 0.00500	Time 3.443 (1.964)	Data 2.709 (1.234)	Loss 2.2598 (2.3497)	Prec@1 37.500 (36.379)	Prec@5 71.875 (72.010)
Epoch: [1][320/879], lr: 0.00500	Time 3.391 (1.962)	Data 2.656 (1.232)	Loss 1.4580 (2.3258)	Prec@1 46.875 (36.857)	Prec@5 96.875 (72.693)
Epoch: [1][340/879], lr: 0.00500	Time 2.129 (1.959)	Data 1.394 (1.229)	Loss 1.7288 (2.3047)	Prec@1 56.250 (37.326)	Prec@5 90.625 (73.167)
Epoch: [1][360/879], lr: 0.00500	Time 1.575 (1.960)	Data 0.838 (1.230)	Loss 2.0641 (2.2957)	Prec@1 34.375 (37.353)	Prec@5 84.375 (73.450)
Epoch: [1][380/879], lr: 0.00500	Time 0.712 (1.962)	Data 0.000 (1.232)	Loss 1.6062 (2.2815)	Prec@1 53.125 (37.705)	Prec@5 84.375 (73.696)
Epoch: [1][400/879], lr: 0.00500	Time 0.717 (1.963)	Data 0.000 (1.232)	Loss 1.7269 (2.2655)	Prec@1 46.875 (38.053)	Prec@5 84.375 (74.073)
Epoch: [1][420/879], lr: 0.00500	Time 0.886 (1.962)	Data 0.163 (1.232)	Loss 2.0513 (2.2513)	Prec@1 43.750 (38.428)	Prec@5 78.125 (74.280)
Epoch: [1][440/879], lr: 0.00500	Time 1.827 (1.967)	Data 1.090 (1.236)	Loss 2.2012 (2.2400)	Prec@1 34.375 (38.648)	Prec@5 75.000 (74.568)
Epoch: [1][460/879], lr: 0.00500	Time 0.979 (1.966)	Data 0.251 (1.235)	Loss 1.7076 (2.2283)	Prec@1 56.250 (38.924)	Prec@5 84.375 (74.790)
Epoch: [1][480/879], lr: 0.00500	Time 0.985 (1.966)	Data 0.249 (1.235)	Loss 1.6897 (2.2125)	Prec@1 56.250 (39.267)	Prec@5 84.375 (75.117)
Epoch: [1][500/879], lr: 0.00500	Time 0.730 (1.965)	Data 0.000 (1.234)	Loss 2.1056 (2.2016)	Prec@1 40.625 (39.540)	Prec@5 81.250 (75.324)
Epoch: [1][520/879], lr: 0.00500	Time 0.721 (1.970)	Data 0.000 (1.239)	Loss 2.2425 (2.1879)	Prec@1 31.250 (39.743)	Prec@5 71.875 (75.648)
Epoch: [1][540/879], lr: 0.00500	Time 0.707 (1.973)	Data 0.000 (1.242)	Loss 2.1078 (2.1760)	Prec@1 37.500 (40.030)	Prec@5 75.000 (75.924)
Epoch: [1][560/879], lr: 0.00500	Time 0.708 (1.973)	Data 0.000 (1.242)	Loss 1.9201 (2.1628)	Prec@1 53.125 (40.408)	Prec@5 78.125 (76.153)
Epoch: [1][580/879], lr: 0.00500	Time 0.727 (1.977)	Data 0.000 (1.246)	Loss 1.8603 (2.1507)	Prec@1 37.500 (40.641)	Prec@5 81.250 (76.436)
Epoch: [1][600/879], lr: 0.00500	Time 0.710 (1.980)	Data 0.000 (1.249)	Loss 1.8929 (2.1405)	Prec@1 53.125 (40.823)	Prec@5 75.000 (76.633)
Epoch: [1][620/879], lr: 0.00500	Time 0.737 (1.983)	Data 0.000 (1.253)	Loss 1.8887 (2.1269)	Prec@1 46.875 (41.133)	Prec@5 84.375 (76.887)
Epoch: [1][640/879], lr: 0.00500	Time 0.721 (1.983)	Data 0.000 (1.253)	Loss 1.3362 (2.1140)	Prec@1 56.250 (41.390)	Prec@5 93.750 (77.130)
Epoch: [1][660/879], lr: 0.00500	Time 0.734 (1.983)	Data 0.000 (1.252)	Loss 1.6091 (2.1025)	Prec@1 53.125 (41.623)	Prec@5 87.500 (77.326)
Epoch: [1][680/879], lr: 0.00500	Time 0.726 (1.984)	Data 0.000 (1.254)	Loss 1.6162 (2.0896)	Prec@1 50.000 (41.951)	Prec@5 84.375 (77.625)
Epoch: [1][700/879], lr: 0.00500	Time 0.769 (1.986)	Data 0.000 (1.256)	Loss 1.4800 (2.0756)	Prec@1 62.500 (42.346)	Prec@5 93.750 (77.880)
Epoch: [1][720/879], lr: 0.00500	Time 0.726 (1.986)	Data 0.000 (1.256)	Loss 2.0778 (2.0641)	Prec@1 43.750 (42.610)	Prec@5 75.000 (78.103)
Epoch: [1][740/879], lr: 0.00500	Time 0.728 (1.985)	Data 0.000 (1.256)	Loss 1.5631 (2.0551)	Prec@1 65.625 (42.831)	Prec@5 90.625 (78.285)
Epoch: [1][760/879], lr: 0.00500	Time 0.708 (1.985)	Data 0.000 (1.256)	Loss 1.8022 (2.0473)	Prec@1 50.000 (42.990)	Prec@5 87.500 (78.441)
Epoch: [1][780/879], lr: 0.00500	Time 0.715 (1.984)	Data 0.000 (1.255)	Loss 1.5079 (2.0362)	Prec@1 59.375 (43.278)	Prec@5 90.625 (78.677)
Epoch: [1][800/879], lr: 0.00500	Time 0.724 (1.985)	Data 0.000 (1.256)	Loss 1.7383 (2.0264)	Prec@1 62.500 (43.559)	Prec@5 90.625 (78.862)
Epoch: [1][820/879], lr: 0.00500	Time 0.728 (1.987)	Data 0.000 (1.258)	Loss 1.8443 (2.0158)	Prec@1 53.125 (43.872)	Prec@5 81.250 (79.039)
Epoch: [1][840/879], lr: 0.00500	Time 0.733 (1.988)	Data 0.000 (1.259)	Loss 1.7529 (2.0077)	Prec@1 46.875 (44.036)	Prec@5 90.625 (79.206)
Epoch: [1][860/879], lr: 0.00500	Time 0.733 (1.990)	Data 0.000 (1.261)	Loss 1.5438 (1.9983)	Prec@1 56.250 (44.280)	Prec@5 90.625 (79.399)
