Epoch: [0][660/1017], lr: 0.00500	Time 2.871 (1.292)	Data 2.118 (0.516)	Loss 1.0618 (2.8578)	Prec@1 78.125 (32.210)	Prec@5 96.875 (61.058)
Epoch: [0][680/1017], lr: 0.00500	Time 2.851 (1.291)	Data 2.098 (0.516)	Loss 1.1382 (2.8181)	Prec@1 68.750 (32.948)	Prec@5 93.750 (61.890)
Epoch: [0][700/1017], lr: 0.00500	Time 2.865 (1.291)	Data 2.103 (0.516)	Loss 1.6067 (2.7826)	Prec@1 50.000 (33.595)	Prec@5 93.750 (62.620)
Epoch: [0][720/1017], lr: 0.00500	Time 2.823 (1.290)	Data 2.068 (0.515)	Loss 1.3136 (2.7464)	Prec@1 59.375 (34.232)	Prec@5 96.875 (63.354)
Epoch: [0][740/1017], lr: 0.00500	Time 2.809 (1.289)	Data 2.056 (0.515)	Loss 1.5568 (2.7102)	Prec@1 53.125 (34.965)	Prec@5 84.375 (64.077)
Epoch: [0][760/1017], lr: 0.00500	Time 2.952 (1.289)	Data 2.120 (0.514)	Loss 1.2556 (2.6748)	Prec@1 68.750 (35.656)	Prec@5 96.875 (64.775)
Epoch: [0][780/1017], lr: 0.00500	Time 2.771 (1.288)	Data 1.949 (0.514)	Loss 2.1418 (2.6430)	Prec@1 46.875 (36.240)	Prec@5 78.125 (65.445)
Epoch: [0][800/1017], lr: 0.00500	Time 2.801 (1.288)	Data 2.048 (0.514)	Loss 1.5398 (2.6103)	Prec@1 62.500 (36.876)	Prec@5 81.250 (66.070)
Epoch: [0][820/1017], lr: 0.00500	Time 2.657 (1.288)	Data 1.902 (0.514)	Loss 1.3749 (2.5830)	Prec@1 59.375 (37.424)	Prec@5 93.750 (66.626)
Epoch: [0][840/1017], lr: 0.00500	Time 2.712 (1.287)	Data 1.958 (0.514)	Loss 1.0757 (2.5541)	Prec@1 71.875 (38.002)	Prec@5 93.750 (67.137)
Epoch: [0][860/1017], lr: 0.00500	Time 2.674 (1.287)	Data 1.919 (0.513)	Loss 1.4292 (2.5252)	Prec@1 62.500 (38.542)	Prec@5 90.625 (67.708)
Epoch: [0][880/1017], lr: 0.00500	Time 2.786 (1.287)	Data 2.031 (0.513)	Loss 1.3386 (2.4988)	Prec@1 50.000 (39.061)	Prec@5 100.000 (68.232)
Epoch: [0][900/1017], lr: 0.00500	Time 2.751 (1.286)	Data 1.997 (0.513)	Loss 1.3330 (2.4707)	Prec@1 53.125 (39.612)	Prec@5 96.875 (68.795)
Epoch: [0][920/1017], lr: 0.00500	Time 2.763 (1.286)	Data 2.009 (0.513)	Loss 1.2518 (2.4451)	Prec@1 59.375 (40.119)	Prec@5 93.750 (69.283)
Epoch: [0][940/1017], lr: 0.00500	Time 2.761 (1.285)	Data 2.007 (0.512)	Loss 1.2159 (2.4196)	Prec@1 62.500 (40.622)	Prec@5 90.625 (69.786)
Epoch: [0][960/1017], lr: 0.00500	Time 2.723 (1.285)	Data 1.969 (0.512)	Loss 1.4398 (2.3949)	Prec@1 62.500 (41.136)	Prec@5 84.375 (70.259)
Epoch: [0][980/1017], lr: 0.00500	Time 2.825 (1.285)	Data 2.071 (0.513)	Loss 1.0101 (2.3692)	Prec@1 71.875 (41.657)	Prec@5 93.750 (70.715)
Epoch: [0][1000/1017], lr: 0.00500	Time 2.932 (1.285)	Data 2.179 (0.513)	Loss 1.0100 (2.3468)	Prec@1 71.875 (42.077)	Prec@5 100.000 (71.120)
Epoch: [1][0/1017], lr: 0.00500	Time 6.297 (6.297)	Data 5.452 (5.452)	Loss 0.9196 (0.9196)	Prec@1 75.000 (75.000)	Prec@5 96.875 (96.875)
Epoch: [1][20/1017], lr: 0.00500	Time 2.746 (1.493)	Data 1.993 (0.724)	Loss 0.8389 (1.1554)	Prec@1 71.875 (66.518)	Prec@5 96.875 (92.857)
Epoch: [1][40/1017], lr: 0.00500	Time 2.746 (1.376)	Data 1.938 (0.612)	Loss 1.2862 (1.1059)	Prec@1 71.875 (67.607)	Prec@5 93.750 (93.445)
Epoch: [1][60/1017], lr: 0.00500	Time 2.684 (1.334)	Data 1.930 (0.568)	Loss 1.2018 (1.0787)	Prec@1 65.625 (68.340)	Prec@5 93.750 (93.596)
Epoch: [1][80/1017], lr: 0.00500	Time 2.775 (1.315)	Data 2.019 (0.550)	Loss 1.1726 (1.0624)	Prec@1 62.500 (68.634)	Prec@5 90.625 (94.136)
Epoch: [1][100/1017], lr: 0.00500	Time 2.471 (1.304)	Data 1.718 (0.538)	Loss 0.8336 (1.0618)	Prec@1 81.250 (68.688)	Prec@5 100.000 (94.183)
Epoch: [1][120/1017], lr: 0.00500	Time 2.654 (1.297)	Data 1.899 (0.532)	Loss 0.9407 (1.0777)	Prec@1 68.750 (68.543)	Prec@5 93.750 (93.982)
Epoch: [1][140/1017], lr: 0.00500	Time 2.442 (1.290)	Data 1.686 (0.527)	Loss 1.0489 (1.0732)	Prec@1 68.750 (68.617)	Prec@5 93.750 (94.215)
Epoch: [1][160/1017], lr: 0.00500	Time 1.798 (1.284)	Data 1.043 (0.521)	Loss 0.9056 (1.0758)	Prec@1 71.875 (68.517)	Prec@5 93.750 (94.216)
Epoch: [1][180/1017], lr: 0.00500	Time 1.406 (1.281)	Data 0.652 (0.517)	Loss 1.1537 (1.0746)	Prec@1 68.750 (68.612)	Prec@5 93.750 (94.182)
Epoch: [1][200/1017], lr: 0.00500	Time 0.752 (1.277)	Data 0.000 (0.513)	Loss 1.0225 (1.0664)	Prec@1 65.625 (68.750)	Prec@5 93.750 (94.232)
Epoch: [1][220/1017], lr: 0.00500	Time 0.752 (1.276)	Data 0.000 (0.513)	Loss 0.8923 (1.0556)	Prec@1 71.875 (68.962)	Prec@5 96.875 (94.358)
Epoch: [1][240/1017], lr: 0.00500	Time 0.751 (1.276)	Data 0.000 (0.512)	Loss 1.0540 (1.0563)	Prec@1 75.000 (68.841)	Prec@5 96.875 (94.385)
Epoch: [1][260/1017], lr: 0.00500	Time 0.753 (1.275)	Data 0.000 (0.511)	Loss 0.9277 (1.0491)	Prec@1 75.000 (69.133)	Prec@5 96.875 (94.397)
Epoch: [1][280/1017], lr: 0.00500	Time 0.752 (1.275)	Data 0.000 (0.512)	Loss 0.7382 (1.0425)	Prec@1 75.000 (69.228)	Prec@5 100.000 (94.473)
Epoch: [1][300/1017], lr: 0.00500	Time 0.752 (1.275)	Data 0.000 (0.512)	Loss 0.9747 (1.0330)	Prec@1 62.500 (69.352)	Prec@5 100.000 (94.695)
Epoch: [1][320/1017], lr: 0.00500	Time 0.754 (1.275)	Data 0.000 (0.513)	Loss 0.9078 (1.0215)	Prec@1 71.875 (69.685)	Prec@5 93.750 (94.831)
Epoch: [1][340/1017], lr: 0.00500	Time 0.758 (1.275)	Data 0.000 (0.513)	Loss 0.6645 (1.0162)	Prec@1 84.375 (69.813)	Prec@5 96.875 (94.868)
Epoch: [1][360/1017], lr: 0.00500	Time 0.755 (1.274)	Data 0.000 (0.512)	Loss 0.8280 (1.0077)	Prec@1 78.125 (70.135)	Prec@5 100.000 (94.979)
Epoch: [1][380/1017], lr: 0.00500	Time 0.753 (1.275)	Data 0.000 (0.512)	Loss 0.8844 (0.9952)	Prec@1 71.875 (70.522)	Prec@5 93.750 (95.071)
Epoch: [1][400/1017], lr: 0.00500	Time 0.753 (1.275)	Data 0.000 (0.511)	Loss 1.1394 (0.9900)	Prec@1 71.875 (70.753)	Prec@5 93.750 (95.020)
Epoch: [1][420/1017], lr: 0.00500	Time 0.755 (1.275)	Data 0.000 (0.511)	Loss 0.9123 (0.9841)	Prec@1 71.875 (70.880)	Prec@5 96.875 (95.049)
Epoch: [1][440/1017], lr: 0.00500	Time 0.828 (1.276)	Data 0.000 (0.511)	Loss 0.9435 (0.9801)	Prec@1 75.000 (70.890)	Prec@5 93.750 (95.061)
Epoch: [1][460/1017], lr: 0.00500	Time 0.829 (1.275)	Data 0.000 (0.510)	Loss 0.7663 (0.9758)	Prec@1 78.125 (71.007)	Prec@5 96.875 (95.140)
Epoch: [1][480/1017], lr: 0.00500	Time 0.902 (1.275)	Data 0.000 (0.509)	Loss 0.9369 (0.9728)	Prec@1 75.000 (71.030)	Prec@5 96.875 (95.179)
Epoch: [1][500/1017], lr: 0.00500	Time 0.829 (1.274)	Data 0.000 (0.508)	Loss 0.8042 (0.9664)	Prec@1 75.000 (71.264)	Prec@5 96.875 (95.172)
Epoch: [1][520/1017], lr: 0.00500	Time 0.755 (1.274)	Data 0.000 (0.507)	Loss 0.6725 (0.9596)	Prec@1 78.125 (71.437)	Prec@5 100.000 (95.220)
Epoch: [1][540/1017], lr: 0.00500	Time 0.906 (1.274)	Data 0.000 (0.506)	Loss 0.8684 (0.9554)	Prec@1 71.875 (71.557)	Prec@5 96.875 (95.240)
Epoch: [1][560/1017], lr: 0.00500	Time 0.824 (1.274)	Data 0.000 (0.506)	Loss 1.0252 (0.9528)	Prec@1 65.625 (71.613)	Prec@5 96.875 (95.254)
Epoch: [1][580/1017], lr: 0.00500	Time 0.827 (1.274)	Data 0.000 (0.505)	Loss 0.6292 (0.9503)	Prec@1 81.250 (71.687)	Prec@5 100.000 (95.240)
Epoch: [1][600/1017], lr: 0.00500	Time 0.826 (1.274)	Data 0.000 (0.504)	Loss 1.2987 (0.9468)	Prec@1 59.375 (71.776)	Prec@5 93.750 (95.274)
Epoch: [1][620/1017], lr: 0.00500	Time 0.829 (1.274)	Data 0.000 (0.504)	Loss 0.8095 (0.9439)	Prec@1 78.125 (71.789)	Prec@5 100.000 (95.320)
Epoch: [1][640/1017], lr: 0.00500	Time 0.825 (1.273)	Data 0.000 (0.503)	Loss 0.7557 (0.9399)	Prec@1 75.000 (71.836)	Prec@5 100.000 (95.354)
Epoch: [1][660/1017], lr: 0.00500	Time 0.852 (1.273)	Data 0.000 (0.503)	Loss 1.3126 (0.9355)	Prec@1 71.875 (71.998)	Prec@5 84.375 (95.381)
Epoch: [1][680/1017], lr: 0.00500	Time 0.829 (1.273)	Data 0.000 (0.503)	Loss 1.1042 (0.9342)	Prec@1 62.500 (72.022)	Prec@5 87.500 (95.388)
Epoch: [1][700/1017], lr: 0.00500	Time 0.825 (1.273)	Data 0.000 (0.502)	Loss 0.6560 (0.9323)	Prec@1 81.250 (72.053)	Prec@5 100.000 (95.404)
Epoch: [1][720/1017], lr: 0.00500	Time 0.826 (1.273)	Data 0.000 (0.502)	Loss 1.2533 (0.9257)	Prec@1 65.625 (72.230)	Prec@5 87.500 (95.453)
Epoch: [1][740/1017], lr: 0.00500	Time 0.833 (1.273)	Data 0.000 (0.502)	Loss 0.7891 (0.9227)	Prec@1 75.000 (72.288)	Prec@5 96.875 (95.504)
Epoch: [1][760/1017], lr: 0.00500	Time 0.756 (1.273)	Data 0.000 (0.501)	Loss 0.4740 (0.9199)	Prec@1 84.375 (72.405)	Prec@5 100.000 (95.528)
Epoch: [1][780/1017], lr: 0.00500	Time 0.752 (1.272)	Data 0.000 (0.501)	Loss 0.6398 (0.9152)	Prec@1 81.250 (72.571)	Prec@5 96.875 (95.559)
Epoch: [1][800/1017], lr: 0.00500	Time 0.834 (1.273)	Data 0.000 (0.500)	Loss 0.7003 (0.9122)	Prec@1 75.000 (72.655)	Prec@5 96.875 (95.572)
Epoch: [1][820/1017], lr: 0.00500	Time 0.752 (1.272)	Data 0.000 (0.501)	Loss 0.8555 (0.9067)	Prec@1 75.000 (72.766)	Prec@5 96.875 (95.653)
Epoch: [1][840/1017], lr: 0.00500	Time 0.827 (1.272)	Data 0.000 (0.501)	Loss 0.5722 (0.9038)	Prec@1 81.250 (72.823)	Prec@5 100.000 (95.697)
Epoch: [1][860/1017], lr: 0.00500	Time 0.832 (1.272)	Data 0.000 (0.501)	Loss 0.7591 (0.9021)	Prec@1 68.750 (72.851)	Prec@5 100.000 (95.732)
Epoch: [1][880/1017], lr: 0.00500	Time 0.752 (1.273)	Data 0.000 (0.501)	Loss 1.0534 (0.8977)	Prec@1 75.000 (72.960)	Prec@5 93.750 (95.761)
Epoch: [1][900/1017], lr: 0.00500	Time 0.753 (1.272)	Data 0.000 (0.501)	Loss 0.8453 (0.8939)	Prec@1 78.125 (73.047)	Prec@5 93.750 (95.765)
Epoch: [1][920/1017], lr: 0.00500	Time 0.803 (1.273)	Data 0.000 (0.501)	Loss 0.4868 (0.8894)	Prec@1 81.250 (73.130)	Prec@5 100.000 (95.810)
Epoch: [1][940/1017], lr: 0.00500	Time 0.821 (1.272)	Data 0.000 (0.501)	Loss 0.6301 (0.8858)	Prec@1 81.250 (73.260)	Prec@5 100.000 (95.842)
Epoch: [1][960/1017], lr: 0.00500	Time 0.784 (1.272)	Data 0.000 (0.501)	Loss 0.5675 (0.8829)	Prec@1 84.375 (73.351)	Prec@5 100.000 (95.877)
Epoch: [1][980/1017], lr: 0.00500	Time 0.903 (1.273)	Data 0.000 (0.501)	Loss 0.5618 (0.8784)	Prec@1 93.750 (73.506)	Prec@5 96.875 (95.907)
Epoch: [1][1000/1017], lr: 0.00500	Time 0.754 (1.273)	Data 0.000 (0.501)	Loss 0.9029 (0.8759)	Prec@1 81.250 (73.570)	Prec@5 96.875 (95.929)
Epoch: [2][0/1017], lr: 0.00500	Time 6.401 (6.401)	Data 5.559 (5.559)	Loss 0.5142 (0.5142)	Prec@1 84.375 (84.375)	Prec@5 96.875 (96.875)
Epoch: [2][20/1017], lr: 0.00500	Time 2.747 (1.491)	Data 1.913 (0.715)	Loss 0.6034 (0.5570)	Prec@1 87.500 (84.375)	Prec@5 93.750 (98.214)
Epoch: [2][40/1017], lr: 0.00500	Time 2.473 (1.372)	Data 1.646 (0.594)	Loss 0.6310 (0.6262)	Prec@1 84.375 (81.784)	Prec@5 100.000 (97.256)
Epoch: [2][60/1017], lr: 0.00500	Time 1.995 (1.333)	Data 1.241 (0.561)	Loss 0.5633 (0.6105)	Prec@1 75.000 (82.018)	Prec@5 100.000 (97.592)
Epoch: [2][80/1017], lr: 0.00500	Time 1.278 (1.310)	Data 0.450 (0.539)	Loss 0.2338 (0.6093)	Prec@1 90.625 (81.713)	Prec@5 100.000 (97.569)
