Epoch: [0][660/938], lr: 0.00500	Time 0.629 (1.656)	Data 0.000 (1.004)	Loss 3.1317 (4.1228)	Prec@1 16.667 (10.812)	Prec@5 40.000 (31.326)
Epoch: [0][680/938], lr: 0.00500	Time 0.608 (1.655)	Data 0.000 (1.003)	Loss 2.8672 (4.0866)	Prec@1 36.667 (11.199)	Prec@5 60.000 (32.129)
Epoch: [0][700/938], lr: 0.00500	Time 0.632 (1.654)	Data 0.000 (1.003)	Loss 2.6385 (4.0533)	Prec@1 26.667 (11.598)	Prec@5 76.667 (32.920)
Epoch: [0][720/938], lr: 0.00500	Time 0.628 (1.653)	Data 0.000 (1.003)	Loss 2.5485 (4.0172)	Prec@1 33.333 (11.946)	Prec@5 60.000 (33.689)
Epoch: [0][740/938], lr: 0.00500	Time 0.627 (1.654)	Data 0.000 (1.004)	Loss 2.4012 (3.9811)	Prec@1 36.667 (12.501)	Prec@5 63.333 (34.525)
Epoch: [0][760/938], lr: 0.00500	Time 0.644 (1.660)	Data 0.001 (1.010)	Loss 2.8247 (3.9454)	Prec@1 16.667 (12.908)	Prec@5 53.333 (35.261)
Epoch: [0][780/938], lr: 0.00500	Time 0.641 (1.666)	Data 0.000 (1.018)	Loss 2.7440 (3.9092)	Prec@1 30.000 (13.406)	Prec@5 66.667 (36.056)
Epoch: [0][800/938], lr: 0.00500	Time 0.681 (1.671)	Data 0.000 (1.022)	Loss 2.8717 (3.8749)	Prec@1 23.333 (13.858)	Prec@5 56.667 (36.833)
Epoch: [0][820/938], lr: 0.00500	Time 0.636 (1.674)	Data 0.000 (1.025)	Loss 2.3322 (3.8417)	Prec@1 33.333 (14.271)	Prec@5 73.333 (37.645)
Epoch: [0][840/938], lr: 0.00500	Time 0.611 (1.675)	Data 0.000 (1.027)	Loss 2.4986 (3.8102)	Prec@1 26.667 (14.689)	Prec@5 63.333 (38.423)
Epoch: [0][860/938], lr: 0.00500	Time 0.635 (1.678)	Data 0.000 (1.029)	Loss 2.5339 (3.7773)	Prec@1 36.667 (15.118)	Prec@5 80.000 (39.276)
Epoch: [0][880/938], lr: 0.00500	Time 0.610 (1.678)	Data 0.000 (1.031)	Loss 2.3356 (3.7456)	Prec@1 33.333 (15.535)	Prec@5 66.667 (40.023)
Epoch: [0][900/938], lr: 0.00500	Time 0.635 (1.678)	Data 0.000 (1.030)	Loss 1.9145 (3.7126)	Prec@1 50.000 (16.030)	Prec@5 80.000 (40.773)
Epoch: [0][920/938], lr: 0.00500	Time 0.632 (1.677)	Data 0.000 (1.029)	Loss 2.3201 (3.6846)	Prec@1 40.000 (16.435)	Prec@5 80.000 (41.422)
Epoch: [1][0/938], lr: 0.00500	Time 6.564 (6.564)	Data 5.904 (5.904)	Loss 2.4827 (2.4827)	Prec@1 30.000 (30.000)	Prec@5 76.667 (76.667)
Epoch: [1][20/938], lr: 0.00500	Time 3.441 (1.769)	Data 2.801 (1.138)	Loss 2.1899 (2.3157)	Prec@1 36.667 (35.079)	Prec@5 76.667 (73.968)
Epoch: [1][40/938], lr: 0.00500	Time 6.650 (1.664)	Data 6.014 (1.033)	Loss 2.3606 (2.2326)	Prec@1 33.333 (36.829)	Prec@5 73.333 (75.691)
Epoch: [1][60/938], lr: 0.00500	Time 5.690 (1.597)	Data 5.030 (0.965)	Loss 2.0613 (2.2373)	Prec@1 40.000 (37.596)	Prec@5 83.333 (75.902)
Epoch: [1][80/938], lr: 0.00500	Time 3.567 (1.544)	Data 2.930 (0.913)	Loss 2.0930 (2.2204)	Prec@1 40.000 (37.449)	Prec@5 76.667 (76.091)
Epoch: [1][100/938], lr: 0.00500	Time 3.685 (1.534)	Data 3.046 (0.904)	Loss 1.9479 (2.1949)	Prec@1 50.000 (37.888)	Prec@5 83.333 (76.238)
Epoch: [1][120/938], lr: 0.00500	Time 3.483 (1.529)	Data 2.846 (0.900)	Loss 2.1438 (2.1818)	Prec@1 36.667 (38.540)	Prec@5 83.333 (76.556)
Epoch: [1][140/938], lr: 0.00500	Time 3.492 (1.519)	Data 2.853 (0.890)	Loss 1.9959 (2.1610)	Prec@1 40.000 (38.842)	Prec@5 80.000 (76.950)
Epoch: [1][160/938], lr: 0.00500	Time 5.033 (1.506)	Data 4.393 (0.877)	Loss 2.3125 (2.1640)	Prec@1 26.667 (38.965)	Prec@5 80.000 (76.874)
Epoch: [1][180/938], lr: 0.00500	Time 3.253 (1.481)	Data 2.593 (0.852)	Loss 2.3858 (2.1585)	Prec@1 40.000 (39.153)	Prec@5 66.667 (76.943)
Epoch: [1][200/938], lr: 0.00500	Time 3.437 (1.474)	Data 2.803 (0.845)	Loss 2.2579 (2.1470)	Prec@1 43.333 (39.536)	Prec@5 73.333 (77.164)
Epoch: [1][220/938], lr: 0.00500	Time 3.657 (1.481)	Data 3.017 (0.851)	Loss 1.7116 (2.1341)	Prec@1 46.667 (39.894)	Prec@5 83.333 (77.376)
Epoch: [1][240/938], lr: 0.00500	Time 3.647 (1.482)	Data 3.013 (0.853)	Loss 2.0679 (2.1249)	Prec@1 50.000 (40.194)	Prec@5 83.333 (77.593)
Epoch: [1][260/938], lr: 0.00500	Time 3.758 (1.485)	Data 3.121 (0.856)	Loss 1.9805 (2.1159)	Prec@1 33.333 (40.498)	Prec@5 80.000 (77.829)
