Epoch: [0][580/1201], lr: 0.00500	Time 4.261 (2.474)	Data 3.587 (1.797)	Loss 0.4010 (0.1458)	Prec@1 93.333 (95.967)	Prec@5 96.667 (99.438)
Epoch: [0][600/1201], lr: 0.00500	Time 4.089 (2.472)	Data 3.419 (1.796)	Loss 0.0428 (0.1469)	Prec@1 100.000 (95.912)	Prec@5 100.000 (99.434)
Epoch: [0][620/1201], lr: 0.00500	Time 3.359 (2.470)	Data 2.692 (1.794)	Loss 0.2581 (0.1485)	Prec@1 90.000 (95.867)	Prec@5 100.000 (99.436)
Epoch: [0][640/1201], lr: 0.00500	Time 5.186 (2.470)	Data 4.517 (1.794)	Loss 0.0592 (0.1488)	Prec@1 100.000 (95.861)	Prec@5 100.000 (99.438)
Epoch: [0][660/1201], lr: 0.00500	Time 2.950 (2.469)	Data 2.278 (1.794)	Loss 0.1086 (0.1478)	Prec@1 96.667 (95.895)	Prec@5 100.000 (99.450)
Epoch: [0][680/1201], lr: 0.00500	Time 3.111 (2.465)	Data 2.448 (1.790)	Loss 0.0641 (0.1473)	Prec@1 96.667 (95.903)	Prec@5 100.000 (99.452)
Epoch: [0][700/1201], lr: 0.00500	Time 1.668 (2.460)	Data 0.995 (1.785)	Loss 0.0976 (0.1464)	Prec@1 96.667 (95.939)	Prec@5 100.000 (99.458)
Epoch: [0][720/1201], lr: 0.00500	Time 3.169 (2.457)	Data 2.499 (1.782)	Loss 0.2030 (0.1472)	Prec@1 96.667 (95.908)	Prec@5 96.667 (99.459)
Epoch: [0][740/1201], lr: 0.00500	Time 2.152 (2.462)	Data 1.488 (1.788)	Loss 0.1591 (0.1474)	Prec@1 96.667 (95.893)	Prec@5 96.667 (99.469)
Epoch: [0][760/1201], lr: 0.00500	Time 2.238 (2.460)	Data 1.575 (1.786)	Loss 0.1037 (0.1482)	Prec@1 96.667 (95.861)	Prec@5 100.000 (99.448)
Epoch: [0][780/1201], lr: 0.00500	Time 1.498 (2.458)	Data 0.831 (1.784)	Loss 0.1344 (0.1496)	Prec@1 96.667 (95.800)	Prec@5 100.000 (99.441)
Epoch: [0][800/1201], lr: 0.00500	Time 0.694 (2.458)	Data 0.032 (1.784)	Loss 0.0494 (0.1499)	Prec@1 100.000 (95.797)	Prec@5 100.000 (99.447)
Epoch: [0][820/1201], lr: 0.00500	Time 1.794 (2.456)	Data 1.133 (1.782)	Loss 0.1067 (0.1509)	Prec@1 96.667 (95.765)	Prec@5 100.000 (99.452)
Epoch: [0][840/1201], lr: 0.00500	Time 0.900 (2.457)	Data 0.233 (1.783)	Loss 0.0360 (0.1508)	Prec@1 100.000 (95.743)	Prec@5 100.000 (99.453)
Epoch: [0][860/1201], lr: 0.00500	Time 1.468 (2.456)	Data 0.797 (1.782)	Loss 0.0727 (0.1499)	Prec@1 100.000 (95.765)	Prec@5 100.000 (99.466)
Epoch: [0][880/1201], lr: 0.00500	Time 3.522 (2.454)	Data 2.848 (1.781)	Loss 0.0322 (0.1487)	Prec@1 100.000 (95.796)	Prec@5 100.000 (99.474)
Epoch: [0][900/1201], lr: 0.00500	Time 6.059 (2.456)	Data 5.386 (1.783)	Loss 0.1960 (0.1482)	Prec@1 93.333 (95.819)	Prec@5 100.000 (99.467)
Epoch: [0][920/1201], lr: 0.00500	Time 4.702 (2.456)	Data 4.038 (1.783)	Loss 0.0508 (0.1482)	Prec@1 100.000 (95.813)	Prec@5 100.000 (99.464)
Epoch: [0][940/1201], lr: 0.00500	Time 3.749 (2.452)	Data 3.085 (1.779)	Loss 0.0832 (0.1482)	Prec@1 100.000 (95.809)	Prec@5 100.000 (99.465)
Epoch: [0][960/1201], lr: 0.00500	Time 1.391 (2.454)	Data 0.722 (1.781)	Loss 0.1361 (0.1486)	Prec@1 96.667 (95.796)	Prec@5 100.000 (99.466)
