Epoch: [0][580/1085], lr: 0.00500	Time 0.665 (2.349)	Data 0.000 (1.669)	Loss 0.0870 (0.1929)	Prec@1 96.667 (94.423)	Prec@5 100.000 (99.346)
Epoch: [0][600/1085], lr: 0.00500	Time 0.662 (2.347)	Data 0.000 (1.667)	Loss 0.3022 (0.1941)	Prec@1 83.333 (94.370)	Prec@5 100.000 (99.329)
Epoch: [0][620/1085], lr: 0.00500	Time 0.665 (2.347)	Data 0.000 (1.667)	Loss 0.0929 (0.1955)	Prec@1 100.000 (94.342)	Prec@5 100.000 (99.324)
Epoch: [0][640/1085], lr: 0.00500	Time 0.664 (2.345)	Data 0.000 (1.666)	Loss 0.1568 (0.1949)	Prec@1 96.667 (94.332)	Prec@5 96.667 (99.324)
Epoch: [0][660/1085], lr: 0.00500	Time 0.664 (2.349)	Data 0.000 (1.670)	Loss 0.1278 (0.1943)	Prec@1 96.667 (94.342)	Prec@5 100.000 (99.334)
Epoch: [0][680/1085], lr: 0.00500	Time 0.664 (2.351)	Data 0.000 (1.672)	Loss 0.0546 (0.1932)	Prec@1 100.000 (94.361)	Prec@5 100.000 (99.349)
Epoch: [0][700/1085], lr: 0.00500	Time 0.664 (2.350)	Data 0.000 (1.672)	Loss 0.0317 (0.1937)	Prec@1 100.000 (94.341)	Prec@5 100.000 (99.353)
Epoch: [0][720/1085], lr: 0.00500	Time 0.664 (2.353)	Data 0.000 (1.675)	Loss 0.2679 (0.1929)	Prec@1 90.000 (94.378)	Prec@5 96.667 (99.353)
Epoch: [0][740/1085], lr: 0.00500	Time 0.664 (2.352)	Data 0.000 (1.675)	Loss 0.3334 (0.1932)	Prec@1 80.000 (94.350)	Prec@5 100.000 (99.361)
Epoch: [0][760/1085], lr: 0.00500	Time 0.664 (2.353)	Data 0.000 (1.676)	Loss 0.3679 (0.1947)	Prec@1 90.000 (94.319)	Prec@5 96.667 (99.369)
Epoch: [0][780/1085], lr: 0.00500	Time 0.663 (2.353)	Data 0.000 (1.676)	Loss 0.1978 (0.1953)	Prec@1 96.667 (94.302)	Prec@5 100.000 (99.368)
Epoch: [0][800/1085], lr: 0.00500	Time 0.664 (2.353)	Data 0.000 (1.677)	Loss 0.1992 (0.1951)	Prec@1 90.000 (94.295)	Prec@5 100.000 (99.363)
Epoch: [0][820/1085], lr: 0.00500	Time 0.665 (2.353)	Data 0.000 (1.676)	Loss 0.0268 (0.1936)	Prec@1 100.000 (94.352)	Prec@5 100.000 (99.371)
Epoch: [0][840/1085], lr: 0.00500	Time 0.664 (2.352)	Data 0.000 (1.676)	Loss 0.1364 (0.1930)	Prec@1 96.667 (94.372)	Prec@5 100.000 (99.378)
Epoch: [0][860/1085], lr: 0.00500	Time 0.665 (2.351)	Data 0.000 (1.675)	Loss 0.1360 (0.1935)	Prec@1 93.333 (94.344)	Prec@5 100.000 (99.381)
Epoch: [0][880/1085], lr: 0.00500	Time 0.665 (2.350)	Data 0.000 (1.675)	Loss 0.0735 (0.1932)	Prec@1 96.667 (94.351)	Prec@5 100.000 (99.387)
Epoch: [0][900/1085], lr: 0.00500	Time 0.665 (2.351)	Data 0.000 (1.675)	Loss 0.3446 (0.1933)	Prec@1 86.667 (94.351)	Prec@5 100.000 (99.390)
Epoch: [0][920/1085], lr: 0.00500	Time 0.665 (2.352)	Data 0.000 (1.677)	Loss 0.3515 (0.1932)	Prec@1 83.333 (94.325)	Prec@5 100.000 (99.396)
Epoch: [0][940/1085], lr: 0.00500	Time 0.663 (2.352)	Data 0.000 (1.677)	Loss 0.0262 (0.1932)	Prec@1 100.000 (94.336)	Prec@5 100.000 (99.394)
Epoch: [0][960/1085], lr: 0.00500	Time 0.665 (2.351)	Data 0.000 (1.676)	Loss 0.1170 (0.1935)	Prec@1 96.667 (94.339)	Prec@5 100.000 (99.396)
